Sr. No.,Sector,Name Of Course,Online,Duration,Required Age,Minimum Education,Requisites,Language,Required Description,For Certification Advanced Module,Video Link To Embed,Project Under Hadp,Skill Training Course,Title Of Lectures,Link Kashmiri Video,Link Urdu Video,Link Dogri Video,Link Hindi Video,Course Language,Uploaded From,Uploaded Date
271,IT-ITeS,Art of selecting use cases for winning Autonomous AI,Free,00:16 hours,18+,"12th Pass, ITI, Diploma",bonsai,English,"In this module, you'll learn how to identify use cases that are a good fit to be solved using Machine Teaching for Autonomous AI.",https://www.skillindiadigital.gov.in/courses/detail/5f1f5c2a-6046-45c7-9aa7-937da9caca18,null,null,null,null,null,null,null,null,null,,null
272,IT-ITeS,Applications to Azure using GitHub Actions : Build and Deploy,Free,00:59 hours,18+,"12th Pass, ITI, Diploma","devops-engineer,administrator,developer,github",English,Create two deployment workflows using GitHub Actions and Microsoft Azure. Learn about triggering a CD workflow and storing credentials.,https://www.skillindiadigital.gov.in/courses/detail/f3a2f712-4c40-46fc-91b2-0813ad702e99,null,null,null,null,null,null,null,null,null,,null
273,IT-ITeS,Analyze Data in a Relational Data Warehouse,Free,01:29 hours,18+,"12th Pass, ITI, Diploma","data-analyst,data-engineer,azure-synapse-analytics",English,"Relational data warehouses are a core element of most enterprise Business Intelligence (BI) solutions, and are used as the basis for data models, reports, and analysis.",https://www.skillindiadigital.gov.in/courses/detail/e083c84a-ae11-474b-ad93-4a7d6782cd68,null,null,null,null,null,null,null,null,null,,null
274,IT-ITeS,Analytical processing using Azure Synapse Analytics,Free,00:19 hours,18+,"12th Pass, ITI, Diploma","data-engineer,azure-synapse-analytics",English,Plan hybrid transactional and analytical processing using Azure Synapse Analytics,https://www.skillindiadigital.gov.in/courses/detail/befc940c-1ed9-478f-841c-4d132447dd89,null,null,null,null,null,null,null,null,null,,null
275,IT-ITeS,PCAP  Programming Essentials In Python,Free,75:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"The aim of the course is to familiarize students with general computer programming concepts like conditional execution, functions, loops, python programming language syntax, semantics, and the runtime environment, as well as with general coding techniques and object oriented programming.",https://www.skillindiadigital.gov.in/courses/detail/1e875ef1-a7d0-4c50-88e1-a3d048e3c1f7,null,null,null,null,null,null,null,null,null,,null
276,IT-ITeS,Networking Essentials,Free,70:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"The Cisco Networking Academy's Networking Essentials 2.0 course provides learners with a broad foundational understanding of networking. It is suitable for anyone interested in a career in IT, or a related career pathway.  Networking Essentials 2.0 is self-paced. The primary emphasis is on networking knowledge with a small amount of  basic skills that are useful for a home or SOHO network.",https://www.skillindiadigital.gov.in/courses/detail/32f29b21-d6ef-428d-904f-b9ddec5ba39e,null,null,null,null,null,null,null,null,null,,null
277,IT-ITeS,NDG Linux Essentials,Free,70:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English," Linux has evolved into the most reliable operating system on the planet. It's used for embedded systems to virtually all supercomputers for a good reason. NDG Linux Essentials quickly builds your Linux knowledge and prepares you for the Linux Professional Institute Linux Essentials certificate, your proof to employers that you know Linux! Many concepts in this course are covered at a more demanding pace in NDG Linux I.",https://www.skillindiadigital.gov.in/courses/detail/6b60b1b8-5351-4020-980b-500bf087cf96,null,null,null,null,null,null,null,null,null,,null
278,IT-ITeS,Use message queues for inter-thread communication in Azure RTOS ThreadX,Free,01:24 hours,Above 18,"12th Pass, ITI, Diploma","azure,azure-iot,azure-rtos",English,Learn how to have threads send messages to other threads.,https://www.skillindiadigital.gov.in/courses/detail/058e8be1-205b-4487-bf7f-fec0c4de19ac,null,null,null,null,null,null,null,null,null,,null
279,IT-ITeS,Train and track machine learning models with MLflow in Microsoft Fabric,Free,00:54 hours,Above 18,"12th Pass, ITI, Diploma","data-engineer,data-scientist,fabric",English,Learn how to train machine learning models in notebooks and track your work with MLflow experiments in Microsoft Fabric.,https://www.skillindiadigital.gov.in/courses/detail/aedc36a1-c03a-462d-8b58-2f19ff8c9b96,null,null,null,null,null,null,null,null,null,,null
280,IT-ITeS,Share Knowledge within MS-Teams,Free,01:01 hours,Above 18,"12th Pass, ITI, Diploma","devops-engineer,azure,azure-artifacts,azure-boards",English,Share knowledge within teams,https://www.skillindiadigital.gov.in/courses/detail/7a636141-5e7a-49cd-9c25-b14e82ed904b,null,null,null,null,null,null,null,null,null,,null
281,IT-ITeS,Set up the Rust development environment,Free,00:16 hours,Above 18,"12th Pass, ITI, Diploma","beginner,student,developer,azure",English,"Learn how to set up the Rust development environment, write a program, and use the Cargo build system.",https://www.skillindiadigital.gov.in/courses/detail/c860e7b7-fe38-41d4-a823-48af9c394c88,null,null,null,null,null,null,null,null,null,,null
282,IT-ITeS,"Security, Scalability, and Availability in SQL Server 2022",Free,01:00 hours,Above 18,"12th Pass, ITI, Diploma","data-scientist,sql-server",English,"This module introduces new capabilities in security, scalability, and availability in SQL Server 2022.",https://www.skillindiadigital.gov.in/courses/detail/ec5d8412-03cb-45a9-aabb-dbab01d3cb5d,null,null,null,null,null,null,null,null,null,,null
283,IT-ITeS,Secure MySQL,Free,00:38 hours,Above 18,"12th Pass, ITI, Diploma","database-administrator,azure-database-mysql",English,"Learn about Azure Database for MySQL security, encryption in Azure Database for MySQL, and how to configure Microsoft Entra authentication.",https://www.skillindiadigital.gov.in/courses/detail/91ad9b06-00d7-46ff-9f9f-9a6ff2ef37b2,null,null,null,null,null,null,null,null,null,,null
284,IT-ITeS,Python Programming,Free,40:00 hours,16+,Na,Na,English,"Get started with Python! Learn how to create programs and projects in Python. Work with strings, lists, loops, dictionaries, and functions.",https://www.skillindiadigital.gov.in/courses/detail/9645a75e-1ef6-419f-b93e-d239f930bc8b,null,null,null,null,null,null,null,null,null,,null
285,IT-ITeS,OWASP and Dynamic Analyzers,Free,00:11 hours,Above 18,"12th Pass, ITI, Diploma","devops-engineer,azure,azure-artifacts,azure-boards",English,OWASP and Dynamic Analyzers,https://www.skillindiadigital.gov.in/courses/detail/ab20a856-a2f0-48b0-991a-0165ba3ff5d6,null,null,null,null,null,null,null,null,null,,null
286,IT-ITeS,Monitor responses in Azure Cosmos DB for NoSQL,Free,00:51 hours,Above 18,"12th Pass, ITI, Diploma","intermediate,developer,azure-cosmos-db",English,We will learn to use a rich set of REST response codes returned by Azure Cosmos DB request to help you analyze potential issues.,https://www.skillindiadigital.gov.in/courses/detail/341f4651-1281-4b9f-be6a-8c0253f72de3,null,null,null,null,null,null,null,null,null,,null
287,IT-ITeS,Monitor Windows Server IaaS Virtual Machines and Hybrid Instances,Free,00:46 hours,Above 18,"12th Pass, ITI, Diploma","solution-architect,technology-manager, azure-cloud-shell,azure-monitor",English,Monitor Windows Server IaaS Virtual Machines and hybrid instances,https://www.skillindiadigital.gov.in/courses/detail/f2d6ac46-3e12-4881-829a-6cc7c7bf308a,null,null,null,null,null,null,null,null,null,,null
288,IT-ITeS,Monitor APP Performance,Free,00:24 hours,Above 18,"12th Pass, ITI, Diploma","developer,azure-monitor",English,Monitor app performance,https://www.skillindiadigital.gov.in/courses/detail/7703163f-1518-4556-bd48-241d307643d2,null,null,null,null,null,null,null,null,null,,null
289,IT-ITeS,Migrate on-premises Windows Server instances to Azure IaaS virtual machines,Free,00:41 hours,Above 18,"12th Pass, ITI, Diploma","solution-architect,technology-manager,azure,azure-cloud-shell,azure-portal",English,"You'll be able to plan a migration and select appropriate server migration tools. You will also learn how to use Azure Migrate, how to assess physical servers, and how to migrate those servers.",https://www.skillindiadigital.gov.in/courses/detail/f87336e0-7eeb-4cae-88e3-4c3613a6c46e,null,null,null,null,null,null,null,null,null,,null
290,IT-ITeS,Microsoft Digital Productivity,Free,16:00 hours,16+,Na,Na,English,"Take your productivity to the next level with Microsoft 365, which lets you work and collaborate from anywhere. - Office apps, like Excel, Word, and PowerPoint, including the latest.updates. - Collaboration at the center of your work with Microsoft Teams, where you can chat, share files, organize teams around topics, and meet virtually with everyone you work with. - Securely save your files in the cloud so you can access them from anywhere. - Achieve more with the latest intelligent features, like PowerPoint Designer or Ideas in Excel. -Stay connected no matter where you are with the Office mobile apps and Office for the web.",https://www.skillindiadigital.gov.in/courses/detail/420abcd3-4f23-4441-8af0-430d8b59ee6e,null,null,null,null,null,null,null,null,null,,null
291,IT-ITeS,Microsoft Digital Literacy - English,Free,10:00 hours,16+,Minimum 10th pass,NA,English,"Learn how to gain digital literacy to use devices, software, and the Internet to collaborate with others and discover, use, and create information.",https://www.skillindiadigital.gov.in/courses/detail/ae9bdca1-d8cc-4685-a7a3-7ad0b0cfd383,null,null,null,null,null,null,null,null,null,,null
292,IT-ITeS,Manage access for Azure Virtual Desktop,Free,00:35 hours,Above 18,"12th Pass, ITI, Diploma","intermediate,administrator,solution-architect,azure,azure-virtual-desktop,azure-virtual-machines",English,Manage access for Azure Virtual Desktop,https://www.skillindiadigital.gov.in/courses/detail/2044ae89-10dc-42de-83ab-cae47cf2f4ef,null,null,null,null,null,null,null,null,null,,null
293,IT-ITeS,Manage Azure Kubernetes Service on Azure Stack HCI,Free,01:06 hours,Above 18,"12th Pass, ITI, Diploma","devops-engineer,security-engineer,azure",English,Manage Azure Kubernetes Service on Azure Stack HCI,https://www.skillindiadigital.gov.in/courses/detail/0e8e37ff-8ae1-4794-b62a-1fa5c54c1675,null,null,null,null,null,null,null,null,null,,null
294,IT-ITeS,Introduction to Personalizer,Free,00:40 hours,Above 18,"12th Pass, ITI, Diploma","solution-architect,ai-engineer,data-scientist,azure,ai-services,azure-cloud-services",English,Discover the Azure AI Personalizer service that is part of Azure AI services.,https://www.skillindiadigital.gov.in/courses/detail/a4d50b89-2577-4b70-9430-69b3e926f00d,null,null,null,null,null,null,null,null,null,,null
295,IT-ITeS,Introduction to Immersive Reader,Free,00:21 hours,Above 18,"12th Pass, ITI, Diploma","beginner,ai-engineer,data-scientist,developer,azure,azure-immersive-reader,ai-services",English,"Immersive Reader is a tool that embeds reading, math, and text comprehension capabilities into applications. Immersive Reader is an inclusively designed tool that implements proven techniques to improve reading comprehension for new readers, language learners, and people with learning differences such as dyslexia. No knowledge of machine learning is required.",https://www.skillindiadigital.gov.in/courses/detail/e42d150f-ded1-4b72-a1f3-0b0ea451b19f,null,null,null,null,null,null,null,null,null,,null
296,IT-ITeS,Introduction to HoloLens,Free,00:33 hours,Above 18,"12th Pass, ITI, Diploma","beginner,business-analyst,hololens",English,This course provides a basic understanding of what HoloLens can do for an organization,https://www.skillindiadigital.gov.in/courses/detail/ee534b32-d7f7-429c-80bd-ac47612bf11f,null,null,null,null,null,null,null,null,null,,null
297,IT-ITeS,Introduction to DevOps Principles for Machine Learning,Free,00:33 hours,Above 18,"12th Pass, ITI, Diploma","data-scientist,azure-devops",English,"Learn about DevOps for machine learning, machine learning operations, and MLOps.",https://www.skillindiadigital.gov.in/courses/detail/79c327e8-97c3-4ca3-bea9-281eef42540c,null,null,null,null,null,null,null,null,null,,null
298,IT-ITeS,Introduction to Audio Classification with TensorFlow,Free,00:48 hours,Above 18,"12th Pass, ITI, Diploma",azure-machine-learning,English,Learn how to do audio classification with TensorFlow.,https://www.skillindiadigital.gov.in/courses/detail/52f2df27-e6bd-4c66-befc-325dae15a4ba,null,null,null,null,null,null,null,null,null,,null
299,IT-ITeS,Implement authentication using Microsoft Authentication Library,Free,00:25 hours,Above 18,"12th Pass, ITI, Diploma","developer,azure-sdks",English,Implement authentication by using the Microsoft Authentication Library,https://www.skillindiadigital.gov.in/courses/detail/f30e5e38-4b55-4eec-8a70-5e90b440ee8a,null,null,null,null,null,null,null,null,null,,null
300,IT-ITeS,Implement Windows Server IaaS VM Network Security,Free,01:09 hours,Above 18,"12th Pass, ITI, Diploma","technology-manager,azure,azure-cloud-shell",English,Implement Windows Server IaaS VM network security,https://www.skillindiadigital.gov.in/courses/detail/1972c64d-4eb3-4071-8576-27aadc492bab,null,null,null,null,null,null,null,null,null,,null
301,IT-ITeS,Implement Azure Cosmos DB for NoSQL point operations,Free,00:45 hours,Above 18,"12th Pass, ITI, Diploma",azure-cosmos-db,English,"Write code to create, read, update, and delete items in Azure Cosmos DB for NoSQL.",https://www.skillindiadigital.gov.in/courses/detail/e612ba80-f9ea-4eed-972f-7fdbe08f47d6,null,null,null,null,null,null,null,null,null,,null
